Library Name	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	other
PSMA267J	0.0013095	0.0	0.2006071	0.0	0.0	0.0	0.6575907999999999	0.0	0.0206563	0.0	0.0	3.7000000000000005e-05	1.62e-05	0.0093266	4.45e-05	0.0	0.0001912	0.0006171	0.0	0.0	0.000212	0.0	0.0009731	0.0193805	0.0	0.0814281	0.0052584	8e-05	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0001148	0.0	0.0	0.0021368000000001
HSM7J4JF	0.00026419994716	0.0	0.797506740498652	0.0	0.0277994944401011	0.0	0.00013369997326	0.00213669957266	0.0725834854833029	0.0	0.0	0.0	0.0	0.0052122989575402	0.0040016991996601	0.0049284990143001	0.0	0.0021059995788	0.0001854999629	0.00074859985028	0.00141609971678	0.0	0.00139839972032	0.00086519982696	0.0	0.0407001918599616	0.0035843992831201	0.0	0.0	0.00224619955076	0.0	0.0107101978579604	0.0	0.0043219991356001	0.0	0.0	0.0071566985686602	0.0048562990287401	0.0	0.0	0.0	0.00039069992186	0.0	0.00474669905066
MSM5LLDI	0.00619959938004	0.00056739994326	0.6834594316540568	0.0	0.0	0.0	0.0	0.1470458852954114	0.1284692871530712	0.0	0.0	0.0	0.00021509997849	0.00492819950718	0.00056119994388	0.00195159980484	0.0	3.01999969800003e-05	0.00057809994219	0.00271309972869	0.00037559996244	0.0	0.0	0.0	0.0	0.00852459914754	0.00679879932012	0.0	0.0	0.0007939999206	0.0	0.0	0.0	0.0	0.00188369981163	0.0	8.529999147000084e-05	0.00047749995225	0.0	0.00015049998495	0.0	0.0	0.0	0.0041908995809101
HSM7CZ3G	0.0	0.0	0.7642061235793877	0.0322282967771703	0.0115535988446401	0.0	0.0	0.0731786926821307	0.0458420954157904	0.0	0.0	0.0	0.00047409995259	0.00023979997602	0.00026939997306	0.00255749974425	0.0	3.249999675000032e-05	0.0	8.98999910100009e-05	0.0	0.0	0.0	0.00419109958089	0.0	0.0369853963014603	0.00169239983076	0.00175569982443	0.00204539979546	9.829999017000098e-05	0.0	0.00143239985676	0.0	0.00330859966914	0.0	0.0	0.00728029927197	0.0	0.0	0.0	0.0	0.00192049980795	0.00641589935841	0.0022019997798
MSM9VZHF	0.0	0.00437750043775	0.0880700088070009	0.0132150013215001	0.00046620004662	0.00263940026394	0.0434000043400004	0.00928170092817	0.00572540057254	0.0	0.0	0.0	0.00689760068976	0.0154788015478801	0.00500080050008	0.0198321019832102	0.0200556020055602	0.0350282035028203	0.00077750007775	0.0100010010001001	0.00169020016902	0.0329826032982603	0.00627670062767	0.0577262057726205	0.00392590039259	0.0797361079736108	0.0	0.0	0.00099560009956	0.00026530002653	0.0	0.00507830050783	0.0	0.0	0.00825870082587	0.0	0.00088810008881	0.0	0.00918090091809	0.0	0.0	0.0	0.00613710061371	0.506611450661145
ESM718TF	6.589998682000264e-05	7.299998540000291e-05	0.0427487914502417	0.0	0.00116539976692	0.00100209979958	0.7934521413095716	0.0073029985394002	0.0053569989286002	0.0	0.0	0.00167479966504	0.0040345991930801	0.0099688980062203	0.00063439987312	0.0030538993892201	0.00031679993664	0.0057022988595402	0.0	0.00110879977824	0.0	0.00132929973414	0.0172977965404406	0.0075093984981203	0.0046828990634201	0.0665474866905026	0.0	0.00043979991204	0.0026472994705401	0.0	0.0	0.0	0.0	0.0054077989184402	0.0	0.00060669987866	0.0	0.00194489961102	0.0	0.0	0.0101751979649604	0.0	0.0	0.0037495992500803
PSMA266Q	0.00039530003953	0.00042080004208	0.6935657693565771	0.0135975013597501	0.0187771018777101	0.0	0.0016970001697	0.0540545054054505	0.0100240010024001	0.0	0.0	0.00031790003179	0.00162650016265	0.00728750072875	0.00099520009952	0.00656240065624	0.00443470044347	0.00663190066319	4.1100004110000415e-05	0.00388390038839	0.0	0.0	0.00261790026179	0.0	0.00574010057401	0.107230410723041	0.00470790047079	0.0	0.00029030002903	0.00129840012984	0.0	0.0105468010546801	0.0	0.0	0.0128020012802001	0.0	0.00168660016866	0.00664330066433	0.0	0.0	0.0	0.0142128014212801	0.0	0.0079104007910399
HSM7CYYB	0.0295190029519002	0.0	0.00169940016994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00318910031891	0.00035270003527	0.0	0.0	0.0	0.00053550005355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.790000179000018e-05	5.03000050300005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8725290872529087	0.0	0.0	0.00030570003057	0.0	0.0	0.0918013091801309
HSM6XRV2	0.0124677024935404	0.00129120025824	0.3167735633547127	0.0026273005254601	0.00143080028616	0.0	0.1731095346219069	0.0148574029714805	0.0245379049075809	0.0	0.0	0.0130585026117005	0.0	0.0281361056272211	0.00230840046168	0.00118560023712	0.0090038018007603	0.0216398043279608	0.0	0.0	0.0	0.0	0.1403732280746456	0.1151305230261046	0.0029214005842801	0.0804474160894832	0.0015165003033	0.0063886012777202	0.0	0.0	0.0	0.00201170040234	0.0	0.0216522043304408	0.0	0.00017490003498	0.0	0.00211760042352	0.0	0.0	0.00026390005278	0.00097690019538	0.0	0.0035975007195
MSMAPC7T	0.0	0.0	0.7126532712653272	0.0	0.0099951009995101	0.0	0.0	0.0612996061299606	0.0529762052976205	0.0	0.0	0.0	0.0200364020036402	0.00944710094471	0.00697680069768	0.00810760081076	0.0	0.00165480016548	0.00287410028741	0.0	0.00178990017899	0.0	0.0	0.0	0.0	0.0356646035664603	0.0278323027832302	0.00808270080827	6.760000676000068e-05	0.0031220003122	0.00156020015602	0.00050710005071	0.0	0.0	0.00685790068579	0.0	0.0162851016285101	0.0	0.0	0.0	0.0	0.00106220010622	0.0	0.0111474011147401
