Library Name	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	other
PSMA267P	0.0051968000000000006	0.0	0.18957909999999997	0.0	0.0	0.0	0.679596	0.0	0.0468374	0.0	0.0	1.59e-05	0.0	0.0001294	0.0002173	0.0001324	0.0006073	0.0	8.8e-06	0.0	0.0006713	0.0	0.0010306999999999998	0.0319548	0.0	0.0257981	0.0054984	0.0	0.0	0.0002231	0.0	0.0	0.0	0.0	0.0008581999999999999	0.00030609999999999996	0.0	0.0	0.0	0.0	0.0003502	0.0	0.0	0.010988700000000073
HSMA33PZ	0.0	0.0	0.9396835	4.2999999999999995e-06	0.0213578	0.0	0.0013047	0.0025096000000000003	4.4e-06	0.0	0.0	0.0	0.0016093	0.0	0.0	0.00016629999999999998	0.0	0.0	0.00023300000000000003	0.0	0.0129704	0.0	0.0064693	0.0004748	0.0	0.0095779	0.0025778	0.0	0.0	0.0004021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006547999999999554
MSM5LLDI	0.00619959938004006	0.0005673999432600056	0.6834594316540568	0.0	0.0	0.0	0.0	0.14704588529541143	0.12846928715307127	0.0	0.0	0.0	0.00021509997849000214	0.004928199507180048	0.0005611999438800056	0.0019515998048400191	0.0	3.01999969800003e-05	0.0005780999421900057	0.002713099728690027	0.00037559996244000373	0.0	0.0	0.0	0.0	0.008524599147540083	0.006798799320120067	0.0	0.0	0.0007939999206000078	0.0	0.0	0.0	0.0	0.0018836998116300186	0.0	8.529999147000084e-05	0.0004774999522500047	0.0	0.00015049998495000148	0.0	0.0	0.0	0.0041908995809101235
HSM7CZ3G	0.0	0.0	0.7642061235793877	0.032228296777170325	0.011553598844640115	0.0	0.0	0.07317869268213073	0.04584209541579046	0.0	0.0	0.0	0.0004740999525900047	0.0002397999760200024	0.00026939997306000266	0.0025574997442500253	0.0	3.249999675000032e-05	0.0	8.98999910100009e-05	0.0	0.0	0.0	0.004191099580890042	0.0	0.03698539630146037	0.0016923998307600168	0.0017556998244300176	0.0020453997954600206	9.829999017000098e-05	0.0	0.0014323998567600143	0.0	0.003308599669140033	0.0	0.0	0.007280299271970072	0.0	0.0	0.0	0.0	0.0019204998079500192	0.006415899358410064	0.002201999779800068
MSM9VZHB	0.0	0.0018745	0.13064989999999999	0.0031423	0.0021005999999999998	0.0006329	0.2870149	0.0009676999999999999	0.0022949	0.0	0.0042182	0.00010279999999999999	6.71e-05	0.0164808	0.018304	0.0081529	0.0103667	0.0481453	0.0	0.0075964	0.0043846	0.0552591	0.0004749	0.2513672	0.0	0.0043085	0.0	1.25e-05	0.0	0.0041437	0.0	0.001944	0.0	0.0	0.0078052	0.0	0.000671	0.045843800000000004	0.0279299	0.0	0.0	0.0	0.0006774	0.05306629999999979
ESM718TM	0.0	0.00017830001783000177	0.10048171004817101	0.0	0.003623900362390036	0.0005788000578800058	0.7406061740606174	0.0395576039557604	0.010427601042760104	0.0	0.0	0.0008416000841600085	0.0	0.02497340249734025	0.0	0.0024997002499700252	3.00000030000003e-05	0.0007289000728900073	0.0	0.0	0.0	0.0	0.0006594000659400066	0.0077316007731600776	0.003807500380750038	0.04389210438921044	0.0	0.00019050001905000191	0.0010600001060000106	0.0	0.0	0.0	0.0	0.0099160009916001	0.0	0.0011171001117100112	0.0	0.0	0.0	0.0	0.005504100550410055	0.0	0.0	0.001594000159400033
PSMA266I	0.004954199009160198	0.0021717995656400867	0.6602865679426865	0.03876839224632155	0.018149196370160724	0.0	0.0014309997138000571	0.10924187815162435	0.009671898065620386	0.0	0.0	0.0	0.0002129999574000085	0.0021378995724200853	0.0038466992306601536	0.013794097241180551	0.003629899274020145	0.003956899208620158	0.002775899444820111	0.010768597846280429	0.00014919997016000594	0.0	0.0024866995026600995	2.649999470000106e-05	0.0026201994759601044	0.05882648823470235	0.008052898389420322	0.0	0.0016722996655400668	0.0015450996909800619	0.0	0.008449498310100338	0.0	0.0	0.012160197567960487	0.0	0.0019369996126000774	0.0005434998913000218	0.0	0.0	0.00012619997476000504	0.009444898111020377	0.0	0.006161398767720261
HSM7CYY3	0.0	2.980000596000119e-05	0.6959801391960277	0.0	0.0	0.0	0.0	0.0	0.10942482188496437	0.0	0.001102000220400044	0.0	0.018843503768700753	0.001961000392200078	0.0	0.0	0.0003311000662200132	0.0	0.0	0.0	0.013469302693860537	0.0	0.0	0.0	0.0	0.0	0.00726340145268029	0.0	0.0	0.00012370002474000494	0.0	0.0	0.09831941966388393	0.0014861002972200593	0.0	0.0	0.0	0.04082890816578163	0.00949810189962038	0.0	0.0	0.0	0.0	0.0013387002677400783
HSM6XRV2	0.012467702493540499	0.001291200258240052	0.3167735633547127	0.0026273005254601055	0.0014308002861600575	0.0	0.17310953462190692	0.014857402971480596	0.024537904907580985	0.0	0.0	0.013058502611700523	0.0	0.028136105627221127	0.0023084004616800925	0.0011856002371200475	0.00900380180076036	0.021639804327960865	0.0	0.0	0.0	0.0	0.1403732280746456	0.11513052302610462	0.002921400584280117	0.08044741608948322	0.001516500303300061	0.0063886012777202555	0.0	0.0	0.0	0.0020117004023400805	0.0	0.02165220433044087	0.0	0.000174900034980007	0.0	0.0021176004235200848	0.0	0.0	0.0002639000527800106	0.0009769001953800391	0.0	0.0035975007195000464
MSMAPC7T	0.0	0.0	0.7126532712653272	0.0	0.0099951009995101	0.0	0.0	0.06129960612996061	0.05297620529762053	0.0	0.0	0.0	0.0200364020036402	0.009447100944710095	0.00697680069768007	0.008107600810760082	0.0	0.0016548001654800165	0.002874100287410029	0.0	0.001789900178990018	0.0	0.0	0.0	0.0	0.03566460356646036	0.02783230278323028	0.008082700808270081	6.760000676000068e-05	0.0031220003122000312	0.0015602001560200156	0.0005071000507100051	0.0	0.0	0.006857900685790069	0.0	0.016285101628510164	0.0	0.0	0.0	0.0	0.0010622001062200106	0.0	0.011147401114740108
